Nipigon,,,Kenogomi,,,Nipigon bail out,,,Treeplant 2018,,
Day,Total,,Day,Total,,Day,Total,,Days,Total,Average
`,40,,24,3260,,49,2400,,51,140140,2747.843137
2,520,,25,3100,,50,2880,,,,
3,760,,26,3100,,51,1860,,,,
4,1000,,27,2340,,Total,7140,,,,
5,1200,,28,4000,,Average,2380,,,,
6,1660,,29,4320,,,,,,,
7,1800,,30,4500,,,,,,,
8,1900,,31,3100,,,,,,,
9,2200,,32,4500,,,,,,,
10,1600,,33,4025,,,,,,,
11,2100,,34,3620,,,,,,,
12,1800,,35,4000,,,,,,,
13,1780,,36,2720,,,,,,,
14,3000,,37,3300,,,,,,,
15,2660,,38,3300,,,,,,,
16,2400,,39,4500,,,,,,,
17,1740,,40,4000,,,,,,,
18,1000,,41,4000,,,,,,,
19,1700,,42,5550,,,,,,,
20,3000,,43,3260,,,,,,,
21,2300,,44,5305,,,,,,,
22,3000,,45,3000,,,,,,,
23,2000,,46,4960,,,,,,,
Total,41160,,47,2400,,,,,,,
Average,1789.565217,,48,1680,,,,,,,
,,,Total,91840,,,,,,,
,,,Average,3673.6,,,,,,,
