Tree planting totals,,,,Treeplant 2018,,,Treeplant 2019,,,,,,,,,,,,,,,,,Nipigon Forest,,,,Kenogami Forest,,,,Ogoki Forest,,,,Black Spruce Forest,,
Days,Total,Average,,Day,Total,,Day,Total,,,,,,,,,,,,,,,,Days,Total,Average,,Days,Total,Average,,Days,Total,Average,,Days,Total,Average
97,311780,3214.226804,,1,40,,52,3000,,,,,,,,,,,,,,,,45,"110,220",2449.333333,,44,170980,3885.909091,,3,12700,4233.333333,,5,17880,3576
,,,,2,520,,53,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treeplant 2018,,,,3,760,,54,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days,Total,Average,,4,1000,,55,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,140140,2747.843137,,5,1200,,56,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,1660,,57,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treeplant 2019,,,,7,1800,,58,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days,Total,Average,,8,1900,,59,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,171640,3731.304348,,9,2200,,60,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,1600,,61,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,2100,,62,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,1800,,63,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,1780,,64,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,3000,,65,4260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,2660,,66,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,2400,,67,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17,1740,,68,4560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18,1000,,69,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19,1700,,70,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,20,3000,,71,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21,2300,,72,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22,3000,,73,4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,23,2000,,74,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24,3260,,75,3520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25,3100,,76,5150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,26,3100,,77,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27,2340,,78,3550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28,4000,,79,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29,4320,,80,5320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,4500,,81,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31,3100,,82,4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32,4500,,83,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,33,4025,,84,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34,3620,,85,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35,4000,,86,3525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36,2720,,87,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37,3300,,88,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38,3300,,89,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39,4500,,90,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40,4000,,91,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41,4000,,92,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42,5550,,93,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43,3260,,94,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,44,5305,,95,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,3000,,96,3010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,4960,,97,5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
