Treeplant 2019,,,,Treeplant 2019,,,Nipigon ,,,Kenogami ,,,Ogoki,,,Black Spruce,
Days,Total,Average,,Day,Total,,Day,Total,,Day,Total,,Day,Total,,Day,Total
46,171640,3731.304348,,1,3000,,1,3000,,14,4260,,25,5150,,42,3350
,,,,2,3100,,2,3100,,15,3500,,26,4000,,43,4000
,,,,3,3600,,3,3600,,16,3200,,27,3550,,44,2400
,,,,4,3700,,4,3700,,17,4560,,Total,12700,,45,3010
,,,,5,3800,,5,3800,,18,3600,,Average,4233.333333,,46,5120
,,,,6,4200,,6,4200,,19,4700,,,,,Total,17880
,,,,7,2720,,7,2720,,20,3700,,,,,Average,3576
,,,,8,3500,,8,3500,,21,4400,,,,,,
,,,,9,3300,,9,3300,,22,4080,,,,,,
,,,,10,3600,,10,3600,,23,4100,,,,,,
,,,,11,3500,,11,3500,,24,3520,,,,,,
,,,,12,3400,,12,3400,,28,4600,,,,,,
,,,,13,2500,,13,2500,,29,5320,,,,,,
,,,,14,4260,,36,3000,,30,3000,,,,,,
,,,,15,3500,,37,2760,,31,4875,,,,,,
,,,,16,3200,,38,2600,,32,4200,,,,,,
,,,,17,4560,,39,3300,,33,5100,,,,,,
,,,,18,3600,,40,4000,,34,4900,,,,,,
,,,,19,4700,,41,2340,,35,3525,,,,,,
,,,,20,3700,,Total,61920,,Total,79140,,,,,,
,,,,21,4400,,Average,3258.947368,,Average,4165.263158,,,,,,
,,,,22,4080,,,,,,,,,,,,
,,,,23,4100,,,,,,,,,,,,
,,,,24,3520,,,,,,,,,,,,
,,,,25,5150,,,,,,,,,,,,
,,,,26,4000,,,,,,,,,,,,
,,,,27,3550,,,,,,,,,,,,
,,,,28,4600,,,,,,,,,,,,
,,,,29,5320,,,,,,,,,,,,
,,,,30,3000,,,,,,,,,,,,
,,,,31,4875,,,,,,,,,,,,
,,,,32,4200,,,,,,,,,,,,
,,,,33,5100,,,,,,,,,,,,
,,,,34,4900,,,,,,,,,,,,
,,,,35,3525,,,,,,,,,,,,
,,,,36,3000,,,,,,,,,,,,
,,,,37,2760,,,,,,,,,,,,
,,,,38,2600,,,,,,,,,,,,
,,,,39,3300,,,,,,,,,,,,
,,,,40,4000,,,,,,,,,,,,
,,,,41,2340,,,,,,,,,,,,
,,,,42,3350,,,,,,,,,,,,
,,,,43,4000,,,,,,,,,,,,
,,,,44,2400,,,,,,,,,,,,
,,,,45,3010,,,,,,,,,,,,
,,,,46,5120,,,,,,,,,,,,
,,,,Total,171640,,,,,,,,,,,,
,,,,Average,3731.304348,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
